fid,area_code,farmland_total_by_kcity
1,203-02,36.7245100016209
2,103-05,25.6733806491252
3,215-11,52.0819682833265
4,322-04,19.5023496156099
5,213-05,101.189498713961
6,581-00,49.2934969534504
7,215-12,302.567669365339
8,215-17,294.241245082999
9,421-01,69.1030188164679
10,213-11,131.248795868082
11,505-01,269.159019463925
12,202-04,111.695396950942
13,505-05,316.263711841919
14,505-02,315.194094243297
15,101-02,22.4985809516365
16,213-08,424.269141819656
17,445-01,170.87166986756
18,103-02,5.06133028794527
19,212-04,543.436664155761
20,213-04,400.659581671268
21,215-02,178.102444714285
22,361-02,288.76900451206
23,212-01,200.750880941728
24,202-20,89.3843442970315
25,215-16,224.814490738648
26,208-05,426.44289428095
27,214-04,131.540457520359
28,211-01,128.969810525898
29,215-14,314.931369336568
30,361-01,242.476059081807
31,215-08,709.509576288931
32,205-06,187.712083248108
33,213-03,377.390138678468
34,202-12,565.025097469073
35,341-04,418.570642953097
36,215-01,132.16507408679
37,206-07,337.400392837825
38,341-02,300.040009151626
39,205-01,86.5451560839175
40,202-02,430.927333651288
41,213-15,496.261652835898
42,213-17,454.946151962499
43,207-02,600.837769382253
44,505-03,799.511582837782
45,445-03,804.523540025823
46,215-06,751.706883867105
47,213-27,550.941092273183
48,422-03,519.23024076921
49,505-04,670.980198524108
50,205-04,409.992762031001
51,207-04,674.423727382334
52,213-25,573.544810189714
53,321-02,453.323999721765
54,214-02,868.25594695017
55,104-03,286.645684726155
56,215-10,841.491773271458
57,207-01,489.292102771351
58,202-11,1006.09769608258
59,207-03,526.480594858527
60,206-01,202.860372845213
61,215-05,691.02258078771
62,213-01,522.687019399739
63,214-03,433.553676671082
64,212-10,1151.0480906207
65,212-12,839.816504399589
66,102-02,430.566488118806
67,323-02,217.392337538458
68,404-00,186.107754794657
69,215-07,931.541891099323
70,213-16,982.55928350559
71,321-01,334.194211801166
72,213-09,943.12342498359
73,215-04,904.769029271645
74,203-01,10.9495619596826
75,215-26,1094.25676771135
76,202-15,961.060658563192
77,206-03,288.794259622576
78,206-02,403.474351348874
79,214-05,367.845456800533
80,213-20,448.655618778347
81,322-03,254.859392849319
82,104-01,68.8567706053615
83,202-13,565.924595637966
84,341-07,291.968320141563
85,213-24,575.46178604966
86,341-05,567.68191723507
87,213-06,1018.00365389537
88,322-02,710.077198017547
89,102-01,1.35514819220592
90,208-02,823.557257449991
91,101-05,92.4569509650533
92,212-09,1282.46028960691
93,205-09,252.103358096616
94,213-07,794.711798643138
95,104-02,168.869240396412
96,215-03,1409.91030818341
97,208-04,476.012496810373
98,213-21,693.514106126725
99,202-14,1138.70251913888
100,209-00,412.06635115371
101,341-06,376.448723198587
102,212-11,1463.0921802945
103,205-10,495.24984755988
104,212-15,1244.36311796347
105,103-03,1096.67461831169
106,206-04,429.729400033394
107,215-20,344.825778867549
108,202-17,1413.39962558738
109,103-04,1021.94128095547
110,208-06,1026.24634147551
111,213-12,1271.98995977011
112,212-03,1356.11587141677
113,202-09,1254.62477211414
114,215-13,966.482844359039
115,202-01,49.5206535227399
116,445-06,1048.48641933546
117,208-03,873.255158340336
118,211-02,674.955318395172
119,202-07,576.579871484552
120,212-07,595.867271754434
121,421-05,853.448571928946
122,202-16,962.587922108342
123,213-18,1155.84987813226
124,361-03,1500.74296822386
125,207-05,671.332968689119
126,215-28,1450.04108665992
127,212-16,1704.92553235024
128,206-05,467.661050570486
129,422-02,862.796181059252
130,214-01,1343.11686533208
131,202-03,1.0100530480504
132,215-09,1435.90387728736
133,215-27,1798.60640461124
134,202-18,412.167932675271
135,102-03,718.227103146691
136,207-06,578.195868644394
137,362-01,915.649458343339
138,208-01,973.910053145485
139,214-06,823.240491668359
140,213-22,1914.7092787878
141,213-19,730.130140099298
142,211-03,1420.40484870178
143,212-18,296.006173839955
144,213-28,2420.87109123424
145,212-14,2534.46700327599
146,421-04,878.703169381037
147,212-13,1735.43665290609
148,361-04,1846.57290603577
149,208-07,1019.34721835462
150,202-19,215.519724313234
151,213-02,1493.44073108123
152,212-02,1785.39785515474
153,215-15,1303.24738118673
154,213-13,1071.57219980214
155,205-03,611.866288609984
156,202-06,543.740898920509
157,101-01,12.4784563788122
158,215-19,1308.38011704437
159,324-02,534.047334669101
160,215-22,1164.52982620646
161,362-02,1272.89644510152
162,202-21,75.9848373109336
163,213-23,710.787508725589
164,606-01,366.300294841814
165,212-19,249.448205718836
166,501-02,1946.67375649809
167,505-06,3344.80382019196
168,606-04,549.983630792834
169,104-04,471.718568781909
170,212-17,3184.72077587364
171,323-01,1205.85339071601
172,606-03,536.577978319298
173,213-26,1310.22015606816
174,205-07,414.277040682445
175,105-01,409.13275262468
176,205-02,222.787125907265
177,501-01,1905.88615978204
178,212-08,512.201889885416
179,406-00,610.552299946649
180,606-02,412.238258412875
181,445-02,1497.94539096827
182,202-08,661.305411517477
183,202-10,43.3735695827723
184,212-05,1017.9916546574
185,422-01,1280.82935399742
186,322-01,1250.5103287439
187,423-00,953.158922336692
188,215-21,1167.52052945696
189,421-02,559.695205422018
