fid.x,area_code,farmland_total_by_kcity,fid.y,tunami_farmland_total_by_kcity,tsunami_farmland_share
1,203-02,36.7245100016209,2,34.7059551375558,0.95
2,103-05,25.6733806491252,1,22.6291851061244,0.88
3,215-11,52.0819682833265,NA,NA,NA
4,322-04,19.5023496156099,NA,NA,NA
5,213-05,101.189498713961,NA,NA,NA
6,581-00,49.2934969534504,3,17.0408955260511,0.35
7,215-12,302.567669365339,NA,NA,NA
8,215-17,294.241245082999,NA,NA,NA
9,421-01,69.1030188164679,NA,NA,NA
10,213-11,131.248795868082,NA,NA,NA
11,505-01,269.159019463925,NA,NA,NA
12,202-04,111.695396950942,4,111.695396950942,1
13,505-05,316.263711841919,NA,NA,NA
14,505-02,315.194094243297,NA,NA,NA
15,101-02,22.4985809516365,NA,NA,NA
16,213-08,424.269141819656,NA,NA,NA
17,445-01,170.87166986756,NA,NA,NA
18,103-02,5.06133028794527,NA,NA,NA
19,212-04,543.436664155761,NA,NA,NA
20,213-04,400.659581671268,NA,NA,NA
21,215-02,178.102444714285,NA,NA,NA
22,361-02,288.76900451206,5,285.725507602692,0.99
23,212-01,200.750880941728,NA,NA,NA
24,202-20,89.3843442970315,26,7.71624962658318,0.09
25,215-16,224.814490738648,NA,NA,NA
26,208-05,426.44289428095,NA,NA,NA
27,214-04,131.540457520359,6,114.354793572908,0.87
28,211-01,128.969810525898,7,0.300348369361724,0
29,215-14,314.931369336568,NA,NA,NA
30,361-01,242.476059081807,8,126.070435760399,0.52
31,215-08,709.509576288931,NA,NA,NA
32,205-06,187.712083248108,9,71.8416139214294,0.38
33,213-03,377.390138678468,NA,NA,NA
34,202-12,565.025097469073,10,56.7234297452316,0.1
35,341-04,418.570642953097,NA,NA,NA
36,215-01,132.16507408679,NA,NA,NA
37,206-07,337.400392837825,NA,NA,NA
38,341-02,300.040009151626,NA,NA,NA
39,205-01,86.5451560839175,11,1.54388932871802,0.02
40,202-02,430.927333651288,12,317.486491741024,0.74
41,213-15,496.261652835898,NA,NA,NA
