fid,area_code,tunami_farmland_total_by_kcity
1,103-05,22.6291851061244
2,203-02,34.7059551375558
3,581-00,17.0408955260511
4,202-04,111.695396950942
5,361-02,285.725507602692
6,214-04,114.354793572908
7,211-01,0.300348369361724
8,361-01,126.070435760399
9,205-06,71.8416139214294
10,202-12,56.7234297452316
11,205-01,1.54388932871802
12,202-02,317.486491741024
13,207-02,568.506771981497
14,205-04,206.442574278774
15,207-04,466.818067335063
16,214-02,342.624126128461
17,104-03,96.0975697273138
18,207-01,90.874635559677
19,207-03,519.829571738759
20,404-00,171.94768123858
21,203-01,1.01135714805126
22,202-15,355.311808386981
23,214-05,253.752308247787
24,104-01,3.03800949155092
25,205-09,165.660035262698
26,202-20,7.71624962658318
27,209-00,55.7342653790819
28,205-10,179.992225148484
29,103-03,1022.02361243012
30,103-04,955.134922964083
31,202-01,48.5110243407826
32,202-07,110.934295015645
33,361-03,1160.65435977337
34,214-01,862.538113726664
35,202-03,1.0100530480504
36,202-18,358.758626957088
37,102-03,608.471883794653
38,362-01,346.159688777123
39,214-06,280.074452466784
40,211-03,1407.22173688882
41,361-04,862.551343950563
42,202-19,103.30710963684
43,205-03,68.9192740665149
44,202-06,304.865301580741
45,362-02,687.592023731225
46,202-21,58.6133780834887
47,606-01,152.00563531282
48,606-04,133.868745961845
49,606-03,12.4069476864648
50,205-07,84.0944108354321
51,205-02,33.5628672183041
52,406-00,1.01068257094622
53,606-02,240.350825616704
54,202-08,613.910174194659
55,202-10,12.1033695140362
56,401-00,151.159688989248
57,202-05,562.175042041644
58,205-08,88.317797911495
